単語,ふりがな,Lao語,No,属性,,,,,,,,,
から,から,ຈາກ,1,助詞,,,,,,,,,
だけ,だけ,ເທົ່ານັ້ນ,4,助詞,,,,,,,,,
ため,ため,ແນ,5,助詞,,,,,,,,,
など,など,ເປັນຕົ້ນ.,2,助詞,,,,,,,,,
よりも,よりも,ກວ່າ,3,助詞,,,,,,,,,
上がる,あがる,ຂຶ້ນ,1,現象,,,,,,,,,
秋,あき ,ລະ​ດູປູກ​ໃໝ່,3,季節,,,,,,,,,
味,あじ ,ລົດ​ຊາດ,21,基礎単語,,,,,,,,,
与える,あたえる,ກະ​ຈາຍ​ປຸ່ຍ,5,動詞,,,,,,,,,
新しい,あたらしい,ໃຫມ່,1,形容詞,,,,,,,,,
扱う,あつかう,ໃຊ້,2,現象,,,,,,,,,
現れる,あらわれる,ປະ​ກົດ​ການ,3,現象,,,,,,,,,
あります,あります,ມີຢູ່　/　ແມ່ນແລ້ວ,4,現象,,,,,,,,,
ありません,ありません,ບໍ່ມີຢູ່ 　/　 ບໍ່ມີ,5,現象,,,,,,,,,
アルカリ性,あるかりせい,ເປັນດ່າງ,20,専門用語,,,,,,,,,
合わせる,あわせる,ກົງກັນ,7,動詞,,,,,,,,,
イグサ,いぐさ,ຫຍ້າທີ່ໃຊ້ສໍາລັບ tatami,17,作物の固有名詞,,,,,,,,,
移植栽培,いしょくさいばい,ການ​ປູກ​ຝັງ　ການ​ປູກ​ຖ່າຍ,3,農作業用語,,,,,,,,,
一時,いちじ,ຊົ່ວຄາວ,9,時間、頻度,,,,,,,,,
一度,いちど ,ຄັ້ງນຶ່ງ,10,時間、頻度,,,,,,,,,
一般的,いっぱんてき ,ການ​ທົ່ວ​ໄປ,11,時間、頻度,,,,,,,,,
稲作,いなさく ,ການ​ເຮັດ​ນາ,6,農作業用語,,,,,,,,,
稲藁,いなわら ,ເຟືອງເຂົ້າ,11,固有名詞,,,,,,,,,
入れる,いれる,ໃສ່,8,動詞,,,,,,,,,
植え付ける,うえつける,ປູກ,32,動詞,,,,,,,,,
植える,うえる,ປູກ,9,動詞,,,,,,,,,
畝立て,うねたて,ຂີ່,21,農作業用語,,,,,,,,,
栄養器官,えいようきかん,ອະໄວຍະວະທີ່ດູດຊຶມສານອາຫານ,12,植物の器官,,,,,,,,,
選ぶ,えらぶ,ເລືອກ,11,動詞,,,,,,,,,
エンジン,えんじん,ເຄື່ອງ​ຈັກ,7,固有名詞,,,,,,,,,
多い,おおい,ຫຼາຍ​,3,形容詞,,,,,,,,,
覆う,おおう,ກວມເອົາ,12,動詞,,,,,,,,,
多過ぎる,おおすぎる,ຫຼາຍ​ໂພດ,4,形容詞,,,,,,,,,
行う,おこなう,ປະ​ຕິ​ບັດ,13,動詞,,,,,,,,,ນອກຈາກນັ້ນ　ປຸ໋ຍ
遅い（行動）,おそい,ການເຄື່ອນໄຫວຊ້າ,12,形容詞,,,,,,,,,
遅い（時間）,おそい,ຊ້າ,7,時間、頻度,,,,,,,,,
遅く（行動）,おそく,ການເຄື່ອນໄຫວຊ້າ,13,形容詞,,,,,,,,,
遅く（時間）,おそく,ຊ້າ,8,時間、頻度,,,,,,,,,
同じ,おなじ,ຄື​ກັນ,16,形容詞,,,,,,,,,
主に,おもに,ສ່ວນ​ໃຫຍ່,12,時間、頻度,,,,,,,,,
終わった,おわった,ຈົບ,6,現象,,,,,,,,,
害虫,がいちゅう ,ແມງ​ໄມ້(ສັດ​ຕູ​ມືດ,7,専門用語,,,,,,,,,
改良,かいりょう ,ການປັບ​ປຸງ​,2,一般作業用語,,,,,,,,,
化学農薬,かがくのうやく ,ຢາເຄມີສໍາລັບຜັກ,11,専門用語,,,,,,,,,
化学肥料,かがくひりょう ,ປຸ່ຍ​ເຄ​ມີ,16,専門用語,,,,,,,,,
確認,かくにん ,ການ​ຢຶນ​ຢັນ,4,一般作業用語,,,,,,,,,
掛ける,かける,ຖອກ,6,動詞,,,,,,,,,
加工,かこう ,ການປຸງແຕ່ງ,1,一般作業用語,,,,,,,,,
果菜類,かさいるい ,ຜັກທີ່ມີລັກສະນະຄ້າຍຄືຫມາກໄມ້,3,野菜の分類,,,,,,,,,
果実,かじつ,ໝາກ​ໄມ້,7,植物の器官,,,,,,,,,
風,かぜ ,ລົມ,10,基礎単語,,,,,,,,,
ガソリン,がそりん,ນ້ຳ​ມັນ​​ກາ​ຊວນ,3,専門用語,,,,,,,,,
かならず,かならず,ແນ່​ນອນ,13,時間、頻度,,,,,,,,,
株元,かぶもと ,ຮອຍຕໍ່ລະຫວ່າງລຳຕົ້ນແລະຮາກ ,24,農作業用語,,,,,,,,,
カリウム,かりうむ,ໂພແທດຊຽມ,5,固有名詞,,,,,,,,,
変わる,かわる,ແຕກຕ່າງກັນ,7,現象,,,,,,,,,
間隔,かんかく ,ໄລຍະຫ່າງ,5,空間,,,,,,,,,
灌水,かんすい ,ງາມນ້ໍາ,23,農作業用語,,,,,,,,,
機械作業,きかいさぎょう ,ວຽກກົນຈັກ,3,一般作業用語,,,,,,,,,
気候,きこう ,ສະ​ພາບອາກ​າດ,6,季節,,,,,,,,,
季節,きせつ ,ລະດູ,5,季節,,,,,,,,,
北,きた ,ເໜືອ,4,方角,,,,,,,,,
キャベツ,きゃべつ,ຜັກ​ກະ​ລ່ຳ​ປີ,1,作物の固有名詞,,,,,,,,,
吸収,きゅうしゅう ,ການ​ເກັບ​ກ່ຽວ​ຜົນ​ຜະ​ລິດ,20,現象,,,,,,,,,
キュウリ,きゅうり,ໝາກ​ແຕງ,12,作物の固有名詞,,,,,,,,,
記録,きろく ,ຂຽນ,6,一般作業用語,,,,,,,,,
茎,くき,ກ້ານໃບ,3,植物の器官,,,,,,,,,
腐る,くさる,ສໍ້​ລາດ​ບັງ​ຫຼວງ,8,現象,,,,,,,,,
繰り返す,くりかえす,ຊ້ຳ,15,動詞,,,,,,,,,
黒,くろい,ດຳ,1,色,,,,,,,,,
加える,くわえる,"ໃສ່, ເພີ້ມ",16,動詞,,,,,,,,,
軽油,けいゆ ,ນ້ຳ​ມັນ​ເບົາ,2,専門用語,,,,,,,,,
原料,げんりょう ,ວັດສະດຸ,23,専門用語,,,,,,,,,
耕運,こううん ,ໄຖ,29,農作業用語,,,,,,,,,
効果,こうか ,ຜົນ​ກະ​ທົບ,2,概念,,,,,,,,,
工芸作物,こうげいさくもつ ,ພືດທີ່ສາມາດນໍາໃຊ້ໄດ້ຖ້າຫາກວ່າການປຸງແຕ່ງ,4,野菜の分類,,,,,,,,,
光合成,こうごうせい ,ການສັງເຄາະແສງ,1,専門用語,,,,,,,,,
国土,こくど ,ດິນ,3,空間,,,,,,,,,
混み合う,こみあう,ແອ​ອັດ,9,現象,,,,,,,,,
小麦,こむぎ ,ເຂົ້າສາລີ,22,作物の固有名詞,,,,,,,,,
米,こめ ,ເຂົ້າ,21,作物の固有名詞,,,,,,,,,
混合油,こんごうゆ,ນໍ້າມັນປະສົມຂອງນໍ້າມັນແອັດຊັງແລະນໍ້າມັນ,6,専門用語,,,,,,,,,
根菜類,こんさいるい ,ຜັກທີ່ກິນຮາກ,2,野菜の分類,,,,,,,,,
コンニャク,こんにゃく,ວຸ້ນມັນຕົ້ນ,15,作物の固有名詞,,,,,,,,,
コンバイン,こんばいん,ຄົນເກັບກ່ຽວ,9,固有名詞,,,,,,,,,
栽培,さいばい ,ການປູກຝັງ,18,基礎単語,,,,,,,,,
盛ん,さかん,ມີຊີວິດຊີວາ,17,形容詞,,,,,,,,,
作業,さぎょう ,ເວຍການ​ເຮັດ​ວຽກ,17,基礎単語,,,,,,,,,
作物,さくもつ ,ຜົນ​ຜະ​ລິດ,16,基礎単語,,,,,,,,,
殺菌剤,さっきんざい,ຢາ​ຂ້າ​ເຊື້ອ​ລາ,12,専門用語,,,,,,,,,
雑草,ざっそう ,ຫຍ້າທີ່ບໍ່ຈໍາເປັນ,8,専門用語,,,,,,,,,
殺虫剤,さっちゅうざい ,ຢາ​ຂ້າ​ແມງ​ໄມ້(ໃຊ້​ທົ່ວ​ໄປ),13,専門用語,,,,,,,,,
サツマイモ,さつまいも,ມັນ​ດ້ານ,9,作物の固有名詞,,,,,,,,,
砂糖,さとう ,າຕານ,23,作物の固有名詞,,,,,,,,,
サトウキビ,さとうきび,ອ້ອຍ,20,作物の固有名詞,,,,,,,,,
酸性,さんせい ,ຄວາມສົ້ມ,19,専門用語,,,,,,,,,
酸素,さんそ ,ອົກ​ຊີ,1,固有名詞,,,,,,,,,
山地,さんち ,ພູ​ເຂົາ,2,基礎単語,,,,,,,,,
散布,さんぷ ,ການສີດພົ່ນ,22,農作業用語,,,,,,,,,
直播栽培,じかまきさいばい ,ເອົາ​ເມັດ​ພືດ​ປູກ​ໃສ່​ສວນ​ຜັກ​ໂດຍ​ກົງ,4,農作業用語,,,,,,,,,
時期,じき ,ລະດູ,1,時間、頻度,,,,,,,,,
資材,しざい ,ວັດ​ສະ​ດຸ,21,専門用語,,,,,,,,,
支柱,しちゅう ,ວັດ​ຖຸ​ຍາວ​,25,専門用語,,,,,,,,,
ジャガイモ,じゃがいも,ມັນ​ຝຣັ່ງ,8,作物の固有名詞,,,,,,,,,
収穫,しゅうかく ,ການເກັບກ່ຽວ,30,農作業用語,,,,,,,,,
周辺,しゅうへん ,ອ້ອມ​ຂ້າງ,1,空間,,,,,,,,,
重油,じゅうゆ ,ນ້ຳ​ມັນ​ໜັກ,4,専門用語,,,,,,,,,
種子,しゅし ,ແກ່ນ,9,植物の器官,,,,,,,,,
種類,しゅるい ,ປະ​ເພດ　/　 ຊະ​ນິດ,5,概念,,,,,,,,,
順番,じゅんばん ,ລຳດັບ,6,概念,,,,,,,,,
使用,しよう,ໃຊ້,10,動詞,,,,,,,,,
消費量,しょうひりょう ,ການບໍລິໂພກ,7,概念,,,,,,,,,
使用簿,しようぼ ,ບັນຊີລາຍຊື່ການນໍາໃຊ້,26,専門用語,,,,,,,,,
除草剤,じょそうざい ,ຢາ​ຂ້າ​ຫຍ້າ,14,専門用語,,,,,,,,,
白,しろ ,ສີຂາວ,3,色,,,,,,,,,
水田,すいでん ,ທົ່ງນາ,8,基礎単語,,,,,,,,,
水分,すいぶん ,"ນ້ຳ,ຄວາມ​ຊຸ່ມ​ຊື່ນ",13,基礎単語,,,,,,,,,
姿,すがた ,ຮູບລັກສະນະ,4,概念,,,,,,,,,
少ない,すくない,ບໍ່ຫຼາຍປານໃດ,5,形容詞,,,,,,,,,
全て,すべて,ທັງໝົດ,14,時間、頻度,,,,,,,,,
生育,せいいく,ຂະ​ບວນ​ການ​ຂະ​ຫຍາຍ​ຕົວ​,9,概念,,,,,,,,,
整枝,せいし ,ການຝຶກອົບຮົມ,19,農作業用語,,,,,,,,,
生殖器官,せいしょくきかん,ອະໄວຍະວະສືບພັນ,13,植物の器官,,,,,,,,,
石灰,せっかい ,ປູນ​ຂາວ,16,固有名詞,,,,,,,,,
操作,そうさ ,ປະ​ຕິ​ບັດ​ງານ,14,動詞,,,,,,,,,
促成栽培,そくせいさいばい ,ການປູກຝັງບັງຄັບ,8,農作業用語,,,,,,,,,
育てる,そだてる,ການ​ປູກ​ຝັງ,17,動詞,,,,,,,,,
田んぼ,たんぼ,ທົ່ງນາ,27,基礎単語,,,,,,,,,
ダイコン,だいこん,ຜັກ​ກາດ​ຂາວ​ຫົວ​ໃຫຍ່,6,作物の固有名詞,,,,,,,,,
堆肥,たいひ ,ປຸ່ຍໝັກ,18,専門用語,,,,,,,,,
田植え,たうえ,ການ​ປູກ​ເຂົ້າ,7,農作業用語,,,,,,,,,
耕す,たがやす,ໄຖ,28,農作業用語,,,,,,,,,
確かめる,たしかめる,ການ​ຢຶນ​ຢັນ,19,動詞,,,,,,,,,
出す,だす,ເອົາ​ອອກ,21,動詞,,,,,,,,,
畳,たたみ ,tatami,25,作物の固有名詞,,,,,,,,,
種,たね ,ແກ່ນ,8,植物の器官,,,,,,,,,
たねいも,たねいも,ມັນຕົ້ນທີ່ກາຍເປັນແກ່ນ,1,植物の器官,,,,,,,,,
種蒔,たねまき ,ວານ​ເມັດ​ພືດ​ໃສ່​ສວນ,1,農作業用語,,,,,,,,,
タバコ,たばこ,ຢາສູບ,18,作物の固有名詞,,,,,,,,,
食べる,たべる,ກິນ,22,動詞,,,,,,,,,
タマネギ,たまねぎ,ຜັກ​ບົ່ວ,5,作物の固有名詞,,,,,,,,,
地域,ちいき ,ພາກພື້ນ,6,空間,,,,,,,,,
違う,ちがう,ແຕກຕ່າງກັນ,10,現象,,,,,,,,,
窒素,ちっそ ,ໄນໂຕຣເຈນ,2,固有名詞,,,,,,,,,
茶,ちゃ ,ຊາ,14,作物の固有名詞,,,,,,,,,
注意,ちゅうい ,ການ​ຕັກ​ເຕືອນ,24,基礎単語,,,,,,,,,
中心,ちゅうしん ,ສູນ,25,基礎単語,,,,,,,,,
追肥,ついひ ,ນອກຈາກນັ້ນປຸ໋ຍ,27,農作業用語,,,,,,,,,
通気性,つうきせい,ລະບາຍອາກາດ,8,概念,,,,,,,,,
使う,つかう,ໃຊ້,23,動詞,,,,,,,,,
作る,つくる,ການ​ປູກ​ຝັງ,18,動詞,,,,,,,,,
作る,つくる,"ການ​ປູກ​ຝັງ,　ເຮັດ, ບຳ​ລຸງ​ລ້ຽງ",24,動詞,,,,,,,,,
土,つち ,ດິນ​ແດດນ,5,基礎単語,,,,,,,,,
続ける,つづける,ສືບຕໍ່,11,現象,,,,,,,,,
強い,つよい,ເຂັ້ມແຂງ,6,形容詞,,,,,,,,,
手,て ,ມື,19,基礎単語,,,,,,,,,
定植,ていしょく ,ເພື່ອປູກ,5,農作業用語,,,,,,,,,
摘心,てきしん,ຕັດເທິງ,13,農作業用語,,,,,,,,,
摘果,てきか ,ການຈັດຮຽງຫມາກໄມ້,18,農作業用語,,,,,,,,,
摘花,てきか  ,"ເອົາ​ດອກ​ໄມ້​,",17,農作業用語,,,,,,,,,
適切,てきせつ ,ທີ່​ເຫມາະ​ສົມ,16,概念,,,,,,,,,
摘葉,てきよう,ຫຼົກ​ໃບ​ໄມ້​ອອກ,15,農作業用語,,,,,,,,,
摘蕾,てきらい ,ຖອນຕາຂອງດອກ,16,農作業用語,,,,,,,,,
出来る,できる,ສາ​ມາດ,12,現象,,,,,,,,,
点検,てんけん ,ການ​ກວດ​ກາ,5,一般作業用語,,,,,,,,,
電源,でんげん ,ສະຫຼັບພະລັງງານ,24,専門用語,,,,,,,,,
甜菜,てんさい ,ຜັກຮາກຫວານ,19,作物の固有名詞,,,,,,,,,
澱粉,でんぷん ,ທາດແປ້ງ,24,作物の固有名詞,,,,,,,,,
透明,とうめい ,ໂປ່ງ​ໃສ,4,色,,,,,,,,,
灯油,とうゆ ,ນ້ຳມັນ​ໃຊ້​ສຳ​ລັບເຕົາ,5,専門用語,,,,,,,,,
通す,とおす,ການບຸກລຸກ、ຜ່ານ,25,動詞,,,,,,,,,
とき,とき,ເວລາ,4,時間、頻度,,,,,,,,,
土壌,どじょう ,ດິນ​ແດດນ,4,基礎単語,,,,,,,,,
飛び散る,とびちる,ກະ​ແຈກ​ກະ​ຈາຍ,13,現象,,,,,,,,,
トマト,とまと,ໝາກ​ເລັ່ນ,11,作物の固有名詞,,,,,,,,,
止める,とめる,ຢຸດ,26,動詞,,,,,,,,,
トラクタ,とらくた,​ລົດໄຖ່​ນາ,8,固有名詞,,,,,,,,,
取り除く,とりのぞく,ລຶບ,33,動詞,,,,,,,,,
取る,とる,ເອົາ,27,動詞,,,,,,,,,
トンネル,とんねる,ວິທີການປົກຫຸ້ມຄືກັບອຸໂມງ,14,固有名詞,,,,,,,,,
苗,なえ,ເບ້ຍ,11,植物の器官,,,,,,,,,
中,なか ,ໃນ,22,基礎単語,,,,,,,,,
長い,ながい,ຍາວ,14,形容詞,,,,,,,,,
長く,ながく,ຍາວ,15,形容詞,,,,,,,,,
ナス,なす,ໝາກ​ເຂືອ,13,作物の固有名詞,,,,,,,,,
なたねかす,なたねかす,ສ່ວນທີ່ເຫຼືອຫຼັງຈາກສະກັດນ້ໍາມັນອອກຈາກແກ່ນ,17,固有名詞,,,,,,,,,
夏,なつ ,ລະ​ດູຮ້ອນ,2,季節,,,,,,,,,
ならない,ならない,ບໍ່​ກາຍ​ເປັນ,14,現象,,,,,,,,,
なる,なる,ກາຍ​ເປັນ,15,現象,,,,,,,,,
何回でも,なんかい でも,ຫຼາຍເທື່ອ,15,時間、頻度,,,,,,,,,
何年でも,なんねんでも,ປີໃດກໍໄດ້,16,時間、頻度,,,,,,,,,
南北,なんぼく ,ເໜືອ​ແລ​ະໃຕ້​,5,方角,,,,,,,,,
二酸化炭素,にさんかたんそ ,ກາກ​ບອນ​ໄດ​ອອກ​ໄຊ,3,固有名詞,,,,,,,,,
西,にし ,ຕາເວັນຕົກ,2,方角,,,,,,,,,
日本,にほん ,ຍີ່ປຸ່ນ,2,空間,,,,,,,,,
ニンジン,にんじん,ຫົວ​ກະ​ລົດ,7,作物の固有名詞,,,,,,,,,
濡れる,ぬれる,ປຽກ,16,現象,,,,,,,,,
根,ね ,ຮາກ,4,植物の器官,,,,,,,,,
熱帯気候,ねったいきこう ,ອາ​ກາດ​ເຂດ​ຮ້ອນ,7,季節,,,,,,,,,
燃料,ねんりょう ,ພະລັງງານ,26,基礎単語,,,,,,,,,
農業機械,のうぎょうきかい ,ເຄື່ອງກົນ,6,固有名詞,,,,,,,,,
農地,のうち ,ທີ່​ດິນ​ກະ​ສິກຳ,6,基礎単語,,,,,,,,,
農薬,のうやく ,ຢາສໍາລັບຜັກ,10,専門用語,,,,,,,,,
除く,のぞく,ລຶບ,3,動詞,,,,,,,,,
伸びる,のびる,ເຕີບໃຫຍ່,17,現象,,,,,,,,,
葉,は,​ໃບ,2,植物の器官,,,,,,,,,
ハクサイ,はくさい,ຜັກກາດຈີນ,2,作物の固有名詞,,,,,,,,,
播種,はしゅ,ວານ​ເມັດ​ພືດ​ໃສ່​ສວນ,2,農作業用語,,,,,,,,,
播種機,はしゅき ,ເຄື່ອງ​ກ້າ​ແກ່ນ,10,固有名詞,,,,,,,,,
畑,はたけ ,ສະ​ໜາມ,7,基礎単語,,,,,,,,,
発芽,はつが ,ການ​ແຕກ​ຫນໍ່,10,概念,,,,,,,,,
発生,はっせい ,ການ​ລະ​ບາດ,11,概念,,,,,,,,,
花,はな ,ດອກ,5,植物の器官,,,,,,,,,
早い（行動）,はやい,ໄວ,10,形容詞,,,,,,,,,
早い（時間）,はやい,ຕົ້ນ,5,時間、頻度,,,,,,,,,
早く（行動）,はやく,ໄວ,11,形容詞,,,,,,,,,
早く（時間）,はやく,ຕົ້ນ,6,時間、頻度,,,,,,,,,
春,はる ,ລະດູໃບໄມ້ປົ່ງ,1,季節,,,,,,,,,
日,ひ ,ວັນ,2,時間、頻度,,,,,,,,,
火,ひ ,ໄຟ,9,基礎単語,,,,,,,,,
東,ひがし ,ທິດຕາເວັນອອກ,1,方角,,,,,,,,,
光,ひかり,ແສງແດດ,11,基礎単語,,,,,,,,,
必要,ひつよう ,ຈໍາເປັນ,12,概念,,,,,,,,,
被覆資材,ひふくしざい ,ກວມເອົາວັດສະດຸ,22,専門用語,,,,,,,,,
病害虫,びょうがいちゅう ,ແມງ​ໄມ້(ສັດ​ຕູ​ມືດ,9,専門用語,,,,,,,,,
病気,びょうき ,ໂລກ​,20,基礎単語,,,,,,,,,
表面,ひょうめん ,ດ້ານ,4,空間,,,,,,,,,
肥料,ひりょう ,ປຸ໋ຍ,15,専門用語,,,,,,,,,
広がる,ひろがる,ການຢ້າງ,18,現象,,,,,,,,,
品種,ひんしゅ ,ປະເພດ,5,野菜の分類,,,,,,,,,
増える,ふえる,ຂະຫຍາຍ,19,現象,,,,,,,,,
防ぐ,ふせぐ,ປົກ​ປ້ອງ,2,動詞,,,,,,,,,
冬,ふゆ ,ລະ​ດູ​ໜາວ,4,季節,,,,,,,,,
プラスチックフィルム,ぷらすちっくふぃるむ,ຟີມ ພຣາ​ສ​ຕິກ,12,固有名詞,,,,,,,,,
古い,ふるい,ເກົ່າ,2,形容詞,,,,,,,,,
平地,へいち ,ທົ່ງ,3,基礎単語,,,,,,,,,
べたがけ,べたがけ,ການປົກຫຸ້ມຂອງແຖວທີ່ເລື່ອນໄດ້,13,固有名詞,,,,,,,,,
防除,ぼうじょ,ປົກ​ປ້ອງ、ລຶບ,4,動詞,,,,,,,,,
方法,ほうほう ,ວິທີການ,1,概念,,,,,,,,,
ホウレンソウ,ほうれんそう,ຜັກ​ຫົມ,4,作物の固有名詞,,,,,,,,,
ほとんど,ほとんど,ສ່ວນ​ຫຼາຍ,17,時間、頻度,,,,,,,,,
毎年,まいとし ,ປີໃດກໍໄດ້,18,時間、頻度,,,,,,,,,
前,まえ ,ທີ່ຜ່ານມາ,3,時間、頻度,,,,,,,,,
撒く,まく,ກະ​ຈາຍ​ປຸ່ຍ,28,動詞,,,,,,,,,
間引き,まびき,ບາງໆອອກ,25,農作業用語,,,,,,,,,
守る,まもる,ການ​ປ້ອງກັນ,29,動詞,,,,,,,,,
マルチング,まるちんぐ,ວິທີການປົກຫຸ້ມຂອງພື້ນດິນ,15,固有名詞,,,,,,,,,
周り,まわり,ອ້ອມ​ຂ້າງ,7,空間,,,,,,,,,
実,み ,ໝາກ​ໄມ້,6,植物の器官,,,,,,,,,
水,みず,ນ້ໍາ,12,基礎単語,,,,,,,,,
緑,みどり ,ສີຂຽວ,2,色,,,,,,,,,
南,みなみ ,ໃຕ້,3,方角,,,,,,,,,
芽,め ,ງອກ,10,植物の器官,,,,,,,,,
目安,めやす ,ມາດຕະຖານທີ່ຫຍາບຄາຍ,13,概念,,,,,,,,,
目的,もくてき ,ຈຸດປະສົງ,14,概念,,,,,,,,,
元肥,もとごえ ,ຝຸ່ນພື້ນຖານ,26,農作業用語,,,,,,,,,
燃やす,もやす,ຕັ້ງໄຟ,30,動詞,,,,,,,,,
問題,もんだい ,ຄຳຖາມ / ບໍ່​ດີ,15,概念,,,,,,,,,
野菜,やさい ,ຜັກ,14,植物の器官,,,,,,,,,
休む,やすむ,ພັກຜ່ອນ,1,動詞,,,,,,,,,
山,やま ,ພູ​ເຂົາ,1,基礎単語,,,,,,,,,
山芋,やまいも ,ມັນຕົ້ນ,10,作物の固有名詞,,,,,,,,,
やめる,やめる,ຢຸດ,31,動詞,,,,,,,,,
誘引,ゆういん ,ສະຫນັບສະຫນູນ,20,農作業用語,,,,,,,,,
有機質肥料,ゆうきしつひりょう ,ປຸ່ຍອິນ​ຊີ,17,専門用語,,,,,,,,,
良い,よい,ດີ,8,形容詞,,,,,,,,,
葉菜類,ようさいるい,ຜັກທີ່ກິນໃບ,1,野菜の分類,,,,,,,,,
養水分,ようすいぶん,ນ້ຳ​ທາດ​ອາ​ຫານ,15,基礎単語,,,,,,,,,
要素,ようそ ,ທາດ,3,概念,,,,,,,,,
養分,ようぶん ,ສາ​ນອາ​ຫານ,14,基礎単語,,,,,,,,,
抑制栽培,よくせいさいばい ,ການປູກຝັງຊ້າກວ່າມາດຕະຖານ,9,農作業用語,,,,,,,,,
余分,よぶん ,ສ່ວນເກີນ,23,基礎単語,,,,,,,,,
予防,よぼう ,ການ​ປ້ອງກັນ,7,一般作業用語,,,,,,,,,
弱い,よわい,ອ່ອນແອ,7,形容詞,,,,,,,,,
ラッカセイ,らっかせい,ຖົ່ວດິນ,16,作物の固有名詞,,,,,,,,,
理解,りかい ,ເຂົ້າໃຈ,20,動詞,,,,,,,,,
硫安,りゅうあん ,ແອມໂມນຽມຊູນເຟດ,18,固有名詞,,,,,,,,,
リン,りん,ຟອສເຟດ,4,固有名詞,,,,,,,,,
輪作,りんさく ,ພືດຫມູນວຽນ,10,農作業用語,,,,,,,,,
レタス,れたす,ຜັກ​ສະ​ລັດ,3,作物の固有名詞,,,,,,,,,
連作,れんさく ,ການປູກຝັງຊ້ຳໆ,11,農作業用語,,,,,,,,,
連作障害,れんさくしょうがい ,ການປູກຄືນຄວາມລົ້ມເຫຼວ,12,農作業用語,,,,,,,,,
脇芽かき,わきめかき,ໜໍ່ໄມ້ຖືກຕັດອອກ,14,農作業用語,,,,,,,,,
悪い,わるい,ບໍ່ດີ,9,形容詞,,,,,,,,,